symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
BAN,SELL,LIMIT,IOC,756,0.0595059,0.0600000,FILLED,756,756,1739159901362,44.9864604
BAN,SELL,LIMIT,IOC,10801,0.0593466,0.0599000,FILLED,10801,10801,1739159907077,641.0026266
TST,SELL,LIMIT,IOC,11174,0.1903791,0.1919000,FILLED,3574,11174,1739159909424,2127.2960634
TST,SELL,LIMIT,IOC,75,0.1900324,0.1909000,FILLED,75,75,1739159915434,14.252429999999999
TST,SELL,LIMIT,IOC,20197,0.1891297,0.1893104,FILLED,4260,20197,1739159924075,3819.8525509
TST,SELL,LIMIT,IOC,2596,0.1881972,0.1898000,FILLED,281,2596,1739159925662,488.55993120000005
TST,SELL,LIMIT,IOC,485,0.1879231,0.1896000,FILLED,485,485,1739159946110,91.14270350000001
TST,BUY,LIMIT,IOC,315,0.1920332,0.1913000,FILLED,315,315,1739159963092,60.490458
TST,BUY,LIMIT,IOC,1955,0.1925739,0.1913000,FILLED,1955,1955,1739159964669,376.4819745
TST,BUY,LIMIT,IOC,6444,0.1933189,0.1914967,FILLED,1670,6444,1739159967427,1245.7469916
TST,BUY,LIMIT,IOC,7853,0.1937201,0.1920000,FILLED,7853,7853,1739159974431,1521.2839453000001
FARTCOIN,SELL,LIMIT,IOC,1136.8,0.5099895,0.5157000,FILLED,1136.8,1136.8,1739159974473,579.7560636
